MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200108,3000,12.00000,LaTrobe_CSV-orig_20200109090333.csv,17.10000,NULL,17.3,16.8,97
123,20200111,164500,8.25000,LaTrobe_CSV-orig_20200111173307.csv,NULL,NULL,NULL,NULL,NULL
123,20200117,4500,9.25000,LaTrobe_CSV-orig_20200117004750.csv,NULL,NULL,NULL,NULL,NULL
123,20200314,194500,8.75000,LaTrobe_CSV-orig_20200315074655.csv,NULL,NULL,NULL,NULL,NULL
123,20200104,70000,9.50000,LaTrobe_CSV-orig_20200104070257.csv,19.10000,NULL,21.3,6,37
123,20200110,94500,55.25000,LaTrobe_CSV-orig_20200110101655.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,204500,21.00000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,184500,8.75000,LaTrobe_CSV-orig_20200118184959.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,130000,10.00000,LaTrobe_CSV-orig_20200118130256.csv,26.30000,NULL,26.2,14,47
123,20200115,3000,10.75000,LaTrobe_CSV-orig_20200115004950.csv,24.10000,NULL,25.1,10.2,39
123,20200104,14500,8.75000,LaTrobe_CSV-orig_20200104014755.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,124500,50.25000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,33000,19.75000,LaTrobe_CSV-orig_20200110053254.csv,22.20000,NULL,21.3,16.7,75
123,20200320,224500,7.25000,LaTrobe_CSV-orig_20200321091755.csv,NULL,NULL,NULL,NULL,NULL
123,20200102,224500,10.00000,LaTrobe_CSV-orig_20200102230200.csv,NULL,NULL,NULL,NULL,NULL
123,20200114,24500,9.50000,LaTrobe_CSV-orig_20200114030952.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,211500,NULL,LaTrobe_CSV-orig_20200107212115.csv,NULL,NULL,NULL,NULL,NULL
123,20200109,94500,29.75000,LaTrobe_CSV-orig_20200109144838.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,161500,26.75000,LaTrobe_CSV-orig_20200110161756.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,73000,21.25000,LaTrobe_CSV-orig_20200319090159.csv,19.60000,NULL,21.1,9,46
123,20200113,194500,53.25000,LaTrobe_CSV-orig_20200113194957.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,171500,50.25000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,70000,14.50000,LaTrobe_CSV-orig_20200113072054.csv,10.60000,NULL,11.3,11.3,100
